Predictor;coef;Odds Ratio;std err;z;P>|z|;[0.025;0.975]
Intercept;14.3563;-;80700.0;0.0;1.0;-158000.0;158000.0
version;-0.0977;0.907;0.102;-0.962;0.336;-0.297;0.101
tags_number;0.0839;1.088;0.040999999999999995;2.055;0.04;0.004;0.16399999999999998
score;-0.0689;0.933;0.003;-20.868;0.0;-0.075;-0.062
is_best_time_to_launch_Yes;0.5695;1.767;0.149;3.826;0.0;0.278;0.861
is_best_day_to_launch_Yes;0.8288;2.291;0.182;4.549;0.0;0.472;1.186
is_weekend_Yes;0.1501;1.162;0.182;0.823;0.41100000000000003;-0.208;0.508
positive_description_sentiment;0.0488;1.05;0.08800000000000001;0.5579999999999999;0.5770000000000001;-0.123;0.22
negative_description_sentiment;0.0842;1.088;0.099;0.855;0.39299999999999996;-0.109;0.277
text_description_length_Medium;-0.2327;0.792;0.21100000000000002;-1.101;0.271;-0.647;0.181
text_description_length_Long;-0.1482;0.862;0.20199999999999999;-0.732;0.46399999999999997;-0.545;0.248
sentence_length_in_the_description_Medium;0.0678;1.07;0.149;0.456;0.649;-0.224;0.36
sentence_length_in_the_description_Long;0.2092;1.233;0.47600000000000003;0.44;0.66;-0.7240000000000001;1.142
bullet_points_explicit_features_Yes;1.0543;2.87;0.5760000000000001;1.83;0.067;-0.075;21.830.000.000.000.000
emoji_in_description_Yes;0.2276;1.256;0.317;0.7170000000000001;0.473;-0.394;0.85
tagline_length_Medium;-0.3153;0.73;0.20800000000000002;-1.513;0.13;-0.7240000000000001;0.093
tagline_length_Long;-0.1424;0.867;0.2;-0.711;0.47700000000000004;-0.535;0.25
emoji_in_tagline_Yes;-0.8134;0.443;0.303;-2.684;0.006999999999999999;-14.069.999.999.999.900;-0.219
are_there_video_Yes;-0.2755;0.759;0.182;-1.515;0.13;-0.632;0.081
are_there_tweetable_images_Yes;-0.0218;0.978;0.441;-0.049;0.961;-0.8859999999999999;0.843
are_there_gif_images_Yes;0.0577;1.059;0.28800000000000003;0.201;0.841;-0.506;0.621
number_of_gif;0.1103;1.117;0.146;0.753;0.451;-0.177;0.397
offers_Yes;0.4273;1.533;0.626;0.6829999999999999;0.495;-0.799;16.540.000.000.000.000
promo_discount_codes_Yes;0.1174;1.125;4.149;0.028;0.977;-8.014;8.249
are_there_questions_Yes;-0.2941;0.745;0.21100000000000002;-13.969.999.999.999.900;0.163;-0.7070000000000001;0.119
hunter_has_twitter_Yes;-0.0306;0.97;0.267;-0.0;1.0;-0.523;0.522
hunter_has_website_Yes;-0.1964;0.822;0.249;-0.789;0.43;-0.684;0.29100000000000004
hunter_followers_Low;-11.9984;0.0;25000.0;-0.0;1.0;-49000.0;48900.0
hunter_followers_Medium;-13.5247;0.0;25000.0;-0.001;1.0;-49000.0;48900.0
hunter_apps_made_Low;18.9659;172498655.465;20400.0;0.001;0.9990000000000001;-40000.0;40100.0
hunter_apps_made_Medium;18.3096;89486649.095;20400.0;0.001;0.9990000000000001;-40000.0;40100.0
hunter_follows_up_on_comments_Yes;-0.3962;0.673;0.24;-1.651;0.099;-0.866;0.07400000000000001
maker_has_twitter_Yes;-0.0868;0.917;0.261;-0.333;0.7390000000000001;-0.598;0.424
maker_has_website_Yes;0.4121;1.51;0.24100000000000002;1.713;0.087;-0.059;0.884
maker_followers_Low;-19.3755;0.0;79500.0;-0.0;1.0;-156000.0;156000.0
maker_followers_Medium;-13.2607;0.0;79500.0;-0.0;1.0;-156000.0;156000.0
maker_follows_up_on_comments_Yes;-1.5544;0.211;0.198;-7.855;0.0;-1.942;-1.167
hunter_is_maker_Yes;-0.0124;0.988;0.21;-0.059;0.953;-0.425;0.4
maker_positive_comment;0.3024;1.353;0.10099999999999999;2.995;0.003;0.104;0.5
maker_negative_comment;-0.4616;0.63;0.141;-3.274;0.001;-0.738;-0.185
others_positive_comment;0.9122;2.49;0.377;-2.421;0.015;-1.651;-0.174
others_negative_comment;0.2641;1.302;0.382;0.691;0.49;-0.485;1.013
topic_community;-0.0826;0.921;0.18899999999999997;-0.438;0.6609999999999999;-0.452;0.287
topic_creativity;0.0351;1.036;0.185;0.189;0.85;-0.328;0.399
